enode://67123113a1d26b3df88b28c711931333defd407dba41a00a706094b89ca986e170420751bc641089bcf80087cf723ecc27739d6fcc362e84ba1aba81b2b5753d@127.0.0.1:0?discport=30301
Note: you're using cmd/bootnode, a developer tool.
We recommend using a regular node as bootstrap node for production deployments.
INFO [06-11|18:10:09.267] New local node record                    seq=1,718,109,609,264 id=062d3cdfc08a1093 ip=<nil> udp=0 tcp=0
TRACE[06-11|18:10:19.435] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:19.479] >> PING/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
DEBUG[06-11|18:10:19.480] Revalidated node                         b=6 id=06129b0209a28e54 checks=2
TRACE[06-11|18:10:19.480] << PONG/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:19.863] << PING/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:19.864] >> PONG/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:19.864] << ENRREQUEST/v4                         id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:19.864] >> ENRRESPONSE/v4                        id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:19.936] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:19.937] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:20.438] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:20.438] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:20.939] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:20.940] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:21.440] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:21.441] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:21.942] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:21.942] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:22.443] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:22.443] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:22.944] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:22.944] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:23.445] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:23.445] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:23.946] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:23.946] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
